line,rank,word,definition,us,uk,pos,issue
94,92,use,使用；利用；用途；用法,/ˈjus/,,,动词 /juːz/ 与名词 /juːs/ 应分开；当前只给 /jus/，且释义同时包含“使用/用途”。
197,210,live,居住；生活；活着的；直播的,/ˈɫaɪv/,,,动词“居住/生活”应为 /lɪv/，形容词“直播的/现场的”才是 /laɪv/；当前只给 /laɪv/。
300,319,lead,领导；导致；铅,/ˈɫɛd/,,,动词“领导/导致”和名词“领先”读 /liːd/；金属“铅”读 /led/；当前只给 /lɛd/，与释义混合。
316,338,read,阅读；读到；朗读；理解,/ˈɹɛd/,,,现在式/原形 /riːd/，过去式/过去分词 /red/；当前只给 /rɛd/，但释义是原形“阅读”。
480,517,record,记录；唱片；纪录；记载,/ˈɹɛkɝd/,,,名词多为首音节重读，动词为后音节重读；当前只给名词读音。
497,535,project,"计划, 设计, 事业",/ˈpɹɑdʒɛkt/,,,名词首音节重读，动词后音节重读；当前只给名词读音。
504,543,produce,生产；制造；农产品,/ˈpɹoʊdus/,,,动词后音节重读，名词“农产品”首音节重读；当前只给名词读音，释义含“生产/制造”。
758,820,present,现在的；出席的；礼物；提出,/ˈpɹɛzənt/,,,形容词/名词首音节重读，动词后音节重读；当前只给前者。
1048,1156,object,"物体, 目标, 目的, 对象, 宾语, 客体",/ˈɑbdʒɛkt/,,,名词首音节重读，动词“反对”后音节重读；当前只给名词读音。
1058,1166,conduct,"行为, 举动, 指导",/ˈkɑndəkt/,,,名词首音节重读，动词后音节重读；当前只给名词读音。
1153,1276,contract,"合约, 婚约, 契约",/ˈkɑnˌtɹækt/,,,名词首音节重读，动词后音节重读；当前只给名词读音。
1568,1745,content,"内容, 满足, 意义, 要旨",/ˈkɑntɛnt/,,,名词首音节重读，形容词“满足的”后音节重读；当前释义混合但只给一种读音。
1890,2127,permit,"许可证, 许可, 执照, 通行证",/ˈpɝˌmɪt/,,,名词首音节重读，动词后音节重读；当前只给名词读音。
609,660,increase,"增加, 增进, 利益，增加, 加大",/ˈɪnˌkɹis/,,,名词首音节重读，动词后音节重读；当前释义混合但只给一种读音。
2990,3400,decrease,"减少, 减少量，减少",/ˈdiˌkɹis/,,,名词首音节重读，动词后音节重读；当前释义混合但只给一种读音。
994,1096,wind,"风, 气息, 气味, 呼吸, 风声, 趋势,",/ˈwaɪnd/,,,名词“风” /wɪnd/，动词“缠绕/上发条” /waɪnd/；当前给 /waɪnd/，但释义主要是“风”。
1713,1919,tear,"泪滴, 眼泪, 撕, 扯, 裂缝, 激怒,",/ˈtɛɹ/,,,名词“眼泪”与动词“撕裂”读音不同；当前只给一种，释义混合。
3602,4138,bow,"弓, 眼睛框，用弓拉琴, 弯成弓形",/ˈbaʊ/,,,“鞠躬/船头”与“弓/蝴蝶结/琴弓”读音不同；当前释义多为“弓”，但读音给 /baʊ/。
619,670,subject,"科目, 主题, 臣民, 主语, 题目, (事",/ˈsəbdʒɪkt/,,,名词/形容词常为首重读；动词后重读；当前释义疑似截断。
3781,4345,insert,插入物,/ˈɪnˌsɝt/,,,名词首音节重读，动词后音节重读；若要技术“插入”需补动词读音。
1427,1586,software,软件，软设备,/ˈsɔfˌwɛɹ/,/ˈsɒftweə/,,“软设备”不自然，建议释义为“软件；软件系统”。
2957,3363,slice,"薄的切片, 一部分, 菜刀",/ˈsɫaɪs/,/ˈslaɪs/,,“菜刀”不属于 slice 的常用义，建议改为“薄片；一部分；切成薄片”。
2962,3369,formula,"客套语, 公式, 准则，公式",/ˈfɔɹmjəɫə/,/ˈfɔːmjʊlɐ/,,“客套语”不是学习优先义；建议“公式；方案；配方；婴儿配方奶”。
4015,4605,premise,"前提, 房屋连地基, 上述各项",/ˈpɹɛmɪs/,,,“房屋连地基”不适合作为学习者常用义；建议“前提；假设；经营场所 premises”。
619,670,subject,"科目, 主题, 臣民, 主语, 题目, (事",/ˈsəbdʒɪkt/,,,释义疑似截断，且需区分名词/形容词/动词读音。
3602,4138,bow,"弓, 眼睛框，用弓拉琴, 弯成弓形",/ˈbaʊ/,,,释义“弓/琴弓”等与当前 /baʊ/ 不匹配，需要补 /boʊ/。
994,1096,wind,"风, 气息, 气味, 呼吸, 风声, 趋势,",/ˈwaɪnd/,,,释义主要是“风”，但当前 /waɪnd/ 是动词“缠绕/上发条”的读音。
1713,1919,tear,"泪滴, 眼泪, 撕, 扯, 裂缝, 激怒,",/ˈtɛɹ/,,,“眼泪”和“撕裂”读音不同，当前只给一种。
4357,4350,gone,过了；超过（时间）,/ˈɡɔn/,/ˈɡɒn/,介词,追加表中标为“介词”不准确，gone 通常是 go 的过去分词/形容词。
4360,4353,times,乘以,/ˈtaɪmz/,/ˈtaɪmz/,介词,追加表中标为“介词”不准确，times 作“乘以”可单独说明，但不宜只标介词。
4359,4352,pending,直到；在...期间,/ˈpɛndɪŋ/,/ˈpɛndɪŋ/,介词,pending 可作介词/形容词；释义“直到；在...期间”偏 before/during，应改“待定的；未决的；在……期间/直到……为止”。
