line,rank,word,definition,us,uk,pos,issue
12,5,a,一个；一种,/ˈeɪ/,,,英音空
15,8,have,有；拥有；已经（助动词）,/ˈhæv/,,,英音空
21,15,he,他,/ˈhi/,,,英音空
24,18,do,做；进行；完成；助动词,/ˈdu/,,,英音空
37,33,as,作为；如同；当...时,/ˈæz/,,介词,英音空
94,92,use,使用；利用；用途；用法,/ˈjus/,,,英音空
95,93,no,不；没有；禁止,/ˈnoʊ/,,,英音空
146,151,put,放；放置；表达,/ˈpʊt/,,,英音空
170,176,American,美国的；美国人,/əˈmɛɹəkən/,,,英音空
192,204,number,数字；号码；数量；编号,/ˈnəmbɝ/,,,英音空
197,210,live,居住；生活；活着的；直播的,/ˈɫaɪv/,,,英音空
198,211,Mr,先生,/ˈmɪstɝ/,,,英音空
216,230,mother,母亲；妈妈,/ˈməðɝ/,,,英音空
229,244,job,工作；职位；任务；职责,/ˈdʒɑb/,,,英音空
243,258,house,房子；房屋；住宅；议院,/ˈhaʊs/,,,英音空
288,306,real,真实的；真正的；实际的,/ˈɹiɫ/,,,英音空
291,309,minute,分钟；片刻；微小的；详细的,/ˈmɪnət/,,,英音空
300,319,lead,领导；导致；铅,/ˈɫɛd/,,,英音空
316,338,read,阅读；读到；朗读；理解,/ˈɹɛd/,,,英音空
339,363,research,研究；调查,/ˈɹisɝtʃ/,,,英音空
356,382,second,第二；秒；片刻；其次,/ˈsɛkənd/,,,英音空
365,392,process,过程；程序；处理；加工,/ˈpɹɑˌsɛs/,,,英音空
421,451,report,报告；报道；汇报；举报,/ɹiˈpɔɹt/,,,英音空
441,473,return,返回；归还；回报；收益,/ɹiˈtɝn/,,,英音空
480,517,record,记录；唱片；纪录；记载,/ˈɹɛkɝd/,,,英音空
482,519,wear,穿；戴；磨损；服装,/ˈwɛɹ/,,,英音空
497,535,project,"计划, 设计, 事业",/ˈpɹɑdʒɛkt/,,,英音空
504,543,produce,生产；制造；农产品,/ˈpɹoʊdus/,,,英音空
521,562,quite,"相当, 完全, 十分",/ˈkwaɪt/,,,英音空
556,600,organization,组织；机构,/ˌɔɹɡənəˈzeɪʃən/,,,英音空
573,621,realize,意识到；实现,/ˈɹiəˌɫaɪz/,,,英音空
590,639,Congress,"国会, 会议, 讨论会，会议, 会合",/ˈkɑŋɡɹəs/,,,英音空
599,650,close,关闭；结束；接近的,/ˈkɫoʊs/,,,英音空
607,658,defense,防御；防卫,/dɪˈfɛns/,,,英音空
609,660,increase,"增加, 增进, 利益，增加, 加大",/ˈɪnˌkɹis/,,,英音空
619,670,subject,"科目, 主题, 臣民, 主语, 题目, (事",/ˈsəbdʒɪkt/,,,英音空
636,688,represent,代表；表示；象征；体现,/ˌɹɛpɹɪˈzɛnt/,,,英音空
645,698,color,颜色,/ˈkəɫɝ/,,,英音空
651,705,fine,好的；精细的；罚款,/ˈfaɪn/,,,英音空
725,785,recognize,"认出, 认可, 承认, 公认, 识别, 赏识",/ˈɹɛkəɡˌnaɪz/,,,英音空
737,797,TV,电视,/ˈtiˈvi/,,,英音空
751,812,outside,外面；外部；在...外面,/ˈaʊtˈsaɪd/,,介词,英音空
758,820,present,现在的；出席的；礼物；提出,/ˈpɹɛzənt/,,,英音空
764,827,PM,下午,/ˈpiˈɛm/,,,英音空
770,833,ok,好的，可以,/ˈoʊˈkeɪ/,,,英音空
822,900,nice,"美好的, 和蔼的, 正派的, 做得好的, 精",/ˈnaɪs/,,,英音空
836,918,finish,"完成, 结束, 末道漆, 磨光, 完美",/ˈfɪnɪʃ/,,,英音空
839,922,impact,影响,/ˈɪmpækt/,,,英音空
843,926,charge,"指控, 费用, 冲锋, 电荷, 炸药, 主管",/ˈtʃɑɹdʒ/,,,英音空
855,941,apply,"涂, 应用，申请, 适用",/əˈpɫaɪ/,,,英音空
877,965,evening,"傍晚, 晚间, 末期",/ˈivnɪŋ/,,,英音空
878,966,affect,"影响, 感动, 假装, 模仿, 爱好, 倾向",/əˈfɛkt/,,,英音空
879,967,inside,内部，内脏,/ˈɪnˌsaɪd/,,介词,英音空
907,1000,detail,"细节, 详情，详述, 选派",/ˈditeɪɫ/,,,英音空
934,1031,address,地址；演说；处理；应对,/ˈæˌdɹɛs/,,,英音空
939,1038,Mrs,夫人，太太,/ˈmɪsɪz/,,,英音空
966,1065,mouth,"嘴, 口, 口腔, 口状物",/ˈmaʊθ/,,,英音空
988,1090,none,没有一个；毫无,/ˈnən/,,,英音空
994,1096,wind,"风, 气息, 气味, 呼吸, 风声, 趋势,",/ˈwaɪnd/,,,英音空
1013,1116,reform,"改革, 改正, 改造",/ɹəˈfɔɹm/,,,英音空
1019,1124,release,释放；发布；发行；放开,/ɹiˈɫis/,,,英音空
1026,1132,recall,"回忆, 召回, 撤消",/ˈɹiˌkɔɫ/,,,英音空
1048,1156,object,"物体, 目标, 目的, 对象, 宾语, 客体",/ˈɑbdʒɛkt/,,,英音空
1055,1163,perfect,完美的；完成时,/ˈpɝˌfɪkt/,,,英音空
1058,1166,conduct,"行为, 举动, 指导",/ˈkɑndəkt/,,,英音空
1073,1183,conflict,冲突,/ˈkɑnfɫɪkt/,,,英音空
1076,1187,British,英国的；英国人,/ˈbɹɪtɪʃ/,,,英音空
1082,1195,afternoon,"午后, 下午",/ˌæftɝˈnun/,,,英音空
1083,1196,AM,上午,/ˈæm/,,,英音空
1093,1207,African,非洲的；非洲人,/ˈæfɹəkən/,,,英音空
1106,1222,Chinese,中国的；中国人；中文,/tʃaɪˈniz/,,,英音空
1128,1247,survey,"纵览, 视察, 测量, 俯瞰, 调查",/ˈsɝˌveɪ/,,,英音空
1129,1248,supposed,假定的；应该,/səˈpoʊzd/,,,英音空
1134,1253,refuse,"拒绝, 谢绝，拒绝",/ˈɹɛfˌjuz/,,,英音空
1146,1269,European,欧洲的；欧洲人,/ˌjʊɹəˈpiən/,,,英音空
1153,1276,contract,"合约, 婚约, 契约",/ˈkɑnˌtɹækt/,,,英音空
1199,1325,collect,"收集, 聚集, 集中, 搜集",/kəˈɫɛkt/,,,英音空
1207,1334,river,"河, 江，河流, 江河, 内河",/ˈɹɪvɝ/,,,英音空
1215,1343,path,"路径, 小路, 道路, 途径, 路线, 轨道",/ˈpæθ/,,,英音空
1231,1361,associate,"同伴, 伙伴, 关联的事物",/əˈsoʊsiˌeɪt/,,,英音空
1239,1370,Christmas,圣诞节,/ˈkɹɪsməs/,,,英音空
1257,1391,review,评审,/ˌɹivˈju/,,,英音空
1261,1396,document,"文件, 公文, 文档",/ˈdɑkjəmɛnt/,,,英音空
1295,1434,committee,委员会,/kəˈmɪti/,,,英音空
1300,1441,Indian,印度的；印度人,/ˈɪndiən/,,,英音空
1305,1446,neighbor,邻居,/ˈneɪbɝ/,,,英音空
1311,1455,combine,"(使)联合, (使)结合",/ˈkɑmbaɪn/,,,英音空
1340,1489,contact,"联系, 交际, 熟人, 接触",/ˈkɑnˌtækt/,,,英音空
1349,1498,flower,"花, 开花植物, 精华, 盛时",/ˈfɫaʊɝ/,,,英音空
1353,1502,appropriate,"适当的，适当的, 拨出, 占用",/əˈpɹoʊpɹiˌeɪt/,,,英音空
1354,1503,supply,"补给, 供给, 供应品",/səˈpɫaɪ/,,,英音空
1366,1517,progress,进展,/ˈpɹɑˌɡɹɛs/,,,英音空
1392,1548,abuse,滥用；虐待；辱骂,/əbˈjus/,,,英音空
1414,1571,Russian,俄罗斯的；俄语,/ˈɹəʃən/,,,英音空
1432,1591,reading,阅读,/ˈɹɛdɪŋ/,,,英音空
1447,1607,complex,复杂的；复合的；综合体,/ˈkɑmpɫɛks/,,,英音空
1450,1610,invite,"邀请, 请求, 引起, 招致，邀请",/ˌɪnˈvaɪt/,,,英音空
1472,1633,poll,"投票, 民意测验, 选举投票, 投票数, 一",/ˈpoʊɫ/,,,英音空
1487,1651,okay,"好, 可以, 行, 对, 好吗, 很好",/ˌoʊˈkeɪ/,,,英音空
1495,1659,organize,组织；安排；整理,/ˈɔɹɡəˌnaɪz/,,,英音空
1498,1662,Iraqi,伊拉克的,/ˌaɪˈɹæki/,,,英音空
1531,1703,e-mail,电子邮件,/ˈiˌmeɪɫ/,,,英音空
1556,1731,Japanese,日本的；日本人；日语,/ˌdʒæpəˈniz/,,,英音空
1568,1745,content,"内容, 满足, 意义, 要旨",/ˈkɑntɛnt/,,,英音空
1579,1758,file,"档案, 公文箱, 文件夹, 文件, 卷宗,",/ˈfaɪɫ/,,,英音空
1593,1774,long-term,长期的,/ˈɫɔŋˈtɝm/,,,英音空
1595,1776,contrast,"差别, 对比, 对照物，使对比",/ˈkɑntɹæst/,,,英音空
1624,1809,Jewish,犹太的,/ˈdʒuɪʃ/,,,英音空
1626,1811,estimate,"估计, 判断，估计, 评价, 判断",/ˈɛstəˌmeɪt/,,,英音空
1653,1842,used,用过的；习惯的,/ˈjuzd/,,,英音空
1666,1858,row,"排, 行, 街道, 划船, 吵闹",/ˈɹoʊ/,,,英音空
1689,1884,secret,"秘密, 机密, 秘诀, 秘方",/ˈsikɹət/,,,英音空
1706,1905,separate,分开的；单独的；分离,/ˈsɛpɝˌeɪt/,,,英音空
1713,1919,tear,"泪滴, 眼泪, 撕, 扯, 裂缝, 激怒,",/ˈtɛɹ/,,,英音空
1744,1955,overall,"全部的, 全体的, 从头至尾的, 一切在内的",/ˈoʊvɝˌɔɫ/,,,英音空
1786,2003,emphasize,强调,/ˈɛmfəˌsaɪz/,,,英音空
1800,2019,expose,"使暴露, 使曝光, 揭穿, 陈列",/ɪkˈspoʊz/,,,英音空
1803,2022,Jew,犹太人,/ˈdʒu/,,,英音空
1822,2046,reject,拒绝；排斥；次品,/ˈɹidʒɛkt/,,,英音空
1841,2068,lower,降低，较低的,/ˈɫoʊɝ/,,,英音空
1867,2102,Israeli,以色列的,/ˌɪzˈɹeɪɫi/,,,英音空
1880,2117,prayer,祈祷,/ˈpɹeɪɝ/,,,英音空
1881,2118,suspect,"被怀疑者, 嫌疑犯",/ˈsəsˌpɛkt/,,,英音空
1890,2127,permit,"许可证, 许可, 执照, 通行证",/ˈpɝˌmɪt/,,,英音空
1896,2133,graduate,"毕业生, 量杯",/ˈɡɹædʒəˌweɪt/,,,英音空
1911,2150,recover,"重新获得, 恢复, 复原, 拯救",/ɹɪˈkəvɝ/,,,英音空
1947,2187,layer,"层, 产卵鸡, 放置者",/ˈɫeɪɝ/,,,英音空
1960,2205,transform,"使转换, 改变, 改造, 使...变形",/ˈtɹænsfɔɹm/,,,英音空
1962,2208,leading,主要的；领导的,/ˈɫidɪŋ/,,,英音空
1964,2210,consist,"组成, 存在于, 一致",/kənˈsɪst/,,,英音空
